"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"WBSNI49M","conferencePaper","2005","Ghodsi, Mohammad; Hassanzadeh, Oktie; Kamali, Shahab; Monemizadeh, Morteza","A hybrid approach for refreshing web page repositories","Database systems for advanced applications, 10th international conference, DASFAA 2005, beijing, china, april 17-20, 2005, proceedings","","","10.1007/11408079\_54","https://doi.org/10.1007/11408079_54","","2005","2023-12-30 21:23:32","2023-12-30 21:23:32","","588–593","","","3453","","","","Lecture notes in computer science","","","","Springer","","","","","","","","","Citation Key: DBLP:conf/dasfaa/GhodsiHKM05 tex.bibsource: dblp computer science bibliography, https://dblp.org tex.timestamp: Fri, 09 Apr 2021 01:00:00 +0200","","","https://dblp.org/rec/conf/dasfaa/GhodsiHKM05.bib","","","Zhou, Lizhu; Ooi, Beng Chin; Meng, Xiaofeng","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9D8AT9CC","conferencePaper","2007","Chandel, Amit; Hassanzadeh, Oktie; Koudas, Nick; Sadoghi, Mohammad; Srivastava, Divesh","Benchmarking declarative approximate selection predicates","Proceedings of the ACM SIGMOD international conference on management of data, beijing, china, june 12-14, 2007","","","10.1145/1247480.1247521","https://doi.org/10.1145/1247480.1247521","","2007","2023-12-30 21:23:32","2023-12-30 21:23:32","","353–364","","","","","","","","","","","ACM","","","","","","","","","Citation Key: DBLP:conf/sigmod/ChandelHKSS07 tex.bibsource: dblp computer science bibliography, https://dblp.org tex.timestamp: Sun, 25 Jul 2021 01:00:00 +0200","","; /Users/oktie/Zotero/storage/STY8ZBGV/Chandel et al_2007_Benchmarking declarative approximate selection predicates.pdf","https://dblp.org/rec/conf/sigmod/ChandelHKSS07.bib","","","Chan, Chee Yong; Ooi, Beng Chin; Zhou, Aoying","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5YHSQ3DZ","conferencePaper","2007","Hassanzadeh, Oktie; Sadoghi, Mohammad; Miller, Renée J.","Accuracy of approximate string joins using grams","Proceedings of the fifth international workshop on quality in databases, QDB 2007, at the VLDB 2007 conference, vienna, austria, september 23, 2007","","","","","","2007","2023-12-30 21:23:32","2023-12-30 21:23:32","","11–18","","","","","","","","","","","","","","","","","","","","Citation Key: DBLP:conf/iqis/HassanzadehSM07 tex.bibsource: dblp computer science bibliography, https://dblp.org tex.timestamp: Mon, 07 Jan 2008 00:00:00 +0100","","","https://dblp.org/rec/conf/iqis/HassanzadehSM07.bib","","","Ganti, Venkatesh; Naumann, Felix","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VG9B9F3K","journalArticle","2009","Hassanzadeh, Oktie; Kementsietsidis, Anastasios; Lim, Lipyeow; Miller, Renée J.; Wang, Min","LinkedCT: A linked data space for clinical trials","CoRR","","","","http://arxiv.org/abs/0908.0567","","2009","2023-12-30 21:23:32","2023-12-30 21:23:32","","","","","abs/0908.0567","","","","","","","","","","","","","","","","","Citation Key: DBLP:journals/corr/abs-0908-0567 arXiv: 0908.0567 tex.bibsource: dblp computer science bibliography, https://dblp.org tex.timestamp: Mon, 13 Aug 2018 01:00:00 +0200","","; /Users/oktie/Zotero/storage/G2FDR46L/Hassanzadeh et al_2009_LinkedCT.pdf","https://dblp.org/rec/journals/corr/abs-0908-0567.bib","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TMGCVFTZ","journalArticle","2009","Hassanzadeh, Oktie","Benchmarking declarative approximate selection predicates","CoRR","","","","http://arxiv.org/abs/0907.2471","","2009","2023-12-30 21:23:32","2023-12-30 21:23:32","","","","","abs/0907.2471","","","","","","","","","","","","","","","","","Citation Key: DBLP:journals/corr/abs-0907-2471 arXiv: 0907.2471 tex.bibsource: dblp computer science bibliography, https://dblp.org tex.timestamp: Mon, 13 Aug 2018 01:00:00 +0200","","; /Users/oktie/Zotero/storage/ZL6PNPUU/Hassanzadeh_2009_Benchmarking declarative approximate selection predicates.pdf","https://dblp.org/rec/journals/corr/abs-0907-2471.bib","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FP62RCZH","journalArticle","2009","Hassanzadeh, Oktie","Automated protein structure classification: A survey","CoRR","","","","http://arxiv.org/abs/0907.1990","","2009","2023-12-30 21:23:31","2023-12-30 21:23:31","","","","","abs/0907.1990","","","","","","","","","","","","","","","","","Citation Key: DBLP:journals/corr/abs-0907-1990 arXiv: 0907.1990 tex.bibsource: dblp computer science bibliography, https://dblp.org tex.timestamp: Mon, 13 Aug 2018 01:00:00 +0200","","; /Users/oktie/Zotero/storage/QC7QJNS4/Hassanzadeh_2009_Automated protein structure classification.pdf","https://dblp.org/rec/journals/corr/abs-0907-1990.bib","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5IMUBT58","conferencePaper","2009","Hassanzadeh, Oktie; Consens, Mariano P.","Linked movie data base","Proceedings of the WWW2009 workshop on linked data on the web, LDOW 2009, madrid, spain, april 20, 2009","","","","https://ceur-ws.org/Vol-538/ldow2009_paper12.pdf","","2009","2023-12-30 21:23:31","2023-12-30 21:23:31","","","","","538","","","","CEUR workshop proceedings","","","","CEUR-WS.org","","","","","","","","","Citation Key: DBLP:conf/www/HassanzadehC09 tex.bibsource: dblp computer science bibliography, https://dblp.org tex.timestamp: Fri, 10 Mar 2023 16:22:22 +0100","","; /Users/oktie/Zotero/storage/3CVG7QBJ/Hassanzadeh_Consens_2009_Linked movie data base.pdf","https://dblp.org/rec/conf/www/HassanzadehC09.bib","","","Bizer, Christian; Heath, Tom; Berners-Lee, Tim; Idehen, Kingsley","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BSLYQD7I","conferencePaper","2009","Hassanzadeh, Oktie; Lim, Lipyeow; Kementsietsidis, Anastasios; Wang, Min","A declarative framework for semantic link discovery over relational data","Proceedings of the 18th international conference on world wide web, WWW 2009, madrid, spain, april 20-24, 2009","","","10.1145/1526709.1526876","https://doi.org/10.1145/1526709.1526876","","2009","2023-12-30 21:23:31","2023-12-30 21:23:31","","1101–1102","","","","","","","","","","","ACM","","","","","","","","","Citation Key: DBLP:conf/www/HassanzadehLKW09 tex.bibsource: dblp computer science bibliography, https://dblp.org tex.timestamp: Wed, 14 Nov 2018 00:00:00 +0100","","","https://dblp.org/rec/conf/www/HassanzadehLKW09.bib","","","Quemada, Juan; León, Gonzalo; Maarek, Yoëlle S.; Nejdl, Wolfgang","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACM2ZXPM","journalArticle","2009","Hassanzadeh, Oktie; Miller, Renée J.","Creating probabilistic databases from duplicated data","Vldb Journal","","","10.1007/S00778-009-0161-2","https://doi.org/10.1007/s00778-009-0161-2","","2009","2023-12-30 21:23:31","2023-12-30 21:23:31","","1141–1166","","5","18","","","","","","","","","","","","","","","","","Citation Key: DBLP:journals/vldb/HassanzadehM09 tex.bibsource: dblp computer science bibliography, https://dblp.org tex.timestamp: Wed, 14 Nov 2018 00:00:00 +0100","","; /Users/oktie/Zotero/storage/K4363GH4/Hassanzadeh_Miller_2009_Creating probabilistic databases from duplicated data.pdf","https://dblp.org/rec/journals/vldb/HassanzadehM09.bib","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3WY6QWD5","journalArticle","2009","Hassanzadeh, Oktie; Chiang, Fei; Miller, Renée J.; Lee, Hyun Chul","Framework for evaluating clustering algorithms in duplicate detection","Proc. VLDB Endow.","","","10.14778/1687627.1687771","http://www.vldb.org/pvldb/vol2/vldb09-1025.pdf","","2009","2023-12-30 21:23:31","2023-12-30 21:23:31","","1282–1293","","1","2","","","","","","","","","","","","","","","","","Citation Key: DBLP:journals/pvldb/HassanzadehCML09 tex.bibsource: dblp computer science bibliography, https://dblp.org tex.timestamp: Fri, 09 Apr 2021 01:00:00 +0200","","; /Users/oktie/Zotero/storage/E4W4FLPU/Hassanzadeh et al_2009_Framework for evaluating clustering algorithms in duplicate detection.pdf","https://dblp.org/rec/journals/pvldb/HassanzadehCML09.bib","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
